event_id,timestamp,event_type,severity,source_ip,destination_ip,user_id,resource,action,result,threat_type,risk_score,metadata_bytes_transferred,metadata_duration_ms,metadata_protocol
430ef470-5d2a-4884-89eb-5a94c04c7e3d,2025-10-29T20:53:24.100088,suspicious_activity,critical,192.168.1.102,172.16.0.100,cbdeeeec-a9aa-4360-82a7-bc42df87ff12,/api/reports,write,blocked,privilege_escalation,10.0,906997,142,RDP
cc14a191-efeb-4246-9e17-950d4d4ae139,2025-10-29T22:16:00.101568,authorization,medium,192.168.1.102,100.64.0.50,9a10062f-7214-43dd-97b7-1e56862950c7,/api/settings,create,allowed,,10.0,891905,3745,SSH
81b05b66-761e-472e-b977-91bbaba4ab88,2025-10-30T00:09:52.100209,authentication,low,192.168.1.100,172.16.0.100,771eb170-268d-4212-b60e-3d8c18e6b135,/api/analytics,update,allowed,,25.0,13586,1980,HTTPS
f3d1edf4-c2f7-4cd2-9969-ebfff18a16f3,2025-10-30T00:15:10.102628,authorization,low,203.0.113.45,203.0.113.45,285d3286-2a83-4607-80e0-8927fc369f82,/api/reports,delete,allowed,,25.0,861223,2442,HTTPS
88e5ca2f-149f-436a-9d38-fde134e2db60,2025-10-30T02:58:45.100936,data_access,medium,192.168.1.102,203.0.113.45,96c9fe33-e898-4998-822f-cf15882192ff,/api/billing,write,allowed,,25.0,810338,3078,RDP
6d39d2ce-c0d0-46be-91f4-f2c0aecfcbc9,2025-10-30T04:46:46.100488,admin_action,medium,203.0.113.45,203.0.113.45,22b8af4e-d0f1-4b2c-b824-3cc6a00bc5ec,/api/analytics,read,allowed,,25.0,926049,1202,HTTPS
5c8e6405-7842-4689-b40c-f34d3eb15fd7,2025-10-30T05:01:44.101939,resource_access,medium,192.168.1.101,192.168.1.101,1984a725-8687-40bf-970d-0b400491d88f,/api/admin/config,delete,allowed,,25.0,712537,3372,HTTPS
ffcd6b22-ca60-4448-9511-1d77a6176f35,2025-10-30T05:41:35.100603,suspicious_activity,low,100.64.0.50,10.0.0.50,ce930a5a-1562-412b-89b7-a09b9e4d67f2,/api/reports,list,allowed,,25.0,633589,1976,HTTPS
a86ce1ae-2b49-43f8-a24d-3c5253107032,2025-10-30T06:55:44.102789,policy_violation,medium,100.64.0.50,192.168.1.101,d16ab646-b165-44ce-9fa4-a33c11a2330f,/api/data/secure,write,allowed,,10.0,532981,4821,SSH
62123791-223a-499b-9ca3-b18e61b95428,2025-10-30T07:21:25.100164,authentication,low,10.0.0.50,192.168.1.101,cb52b82f-a917-4590-8725-86aee84a8d59,/api/data/secure,update,allowed,,10.0,672376,2001,HTTPS
b2af97df-2b3c-4134-b341-8b3671efec7c,2025-10-30T08:11:00.099273,data_access,low,172.16.0.100,198.51.100.23,d7edd3a8-5d54-45e7-9a60-1224706e4594,/api/admin/config,list,allowed,,10.0,528506,1270,SSH
